city,pop2013,pop2018,percent5yrs,,Average
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5828191,6198782,6.358593945,,
"Missoula, MT Metro Area",111807,118791,6.246478306,,
"Bremerton-Silverdale, WA Metro Area",253968,269805,6.235824986,,
"Lafayette-West Lafayette, IN Metro Area",209611,222676,6.232974415,,
"Lawrence, KS Metro Area",114322,121436,6.222774269,,
"Homosassa Springs, FL Metro Area",139271,147929,6.216656734,,
"Huntsville, AL Metro Area",435737,462693,6.186300452,,
"Ames, IA Metro Area",92406,98105,6.167348441,,
"McAllen-Edinburg-Mission, TX Metro Area",815996,865939,6.120495689,,
"Port Angeles, WA Micro Area",72312,76737,6.119316296,,
"Centralia, WA Micro Area",75081,79604,6.024160573,,
"Bismarck, ND Metro Area",124817,132317,6.008796879,,
"Pensacola-Ferry Pass-Brent, FL Metro Area",466913,494883,5.990409348,,
"Panama City, FL Metro Area",191522,202977,5.981036121,,
"Moses Lake, WA Micro Area",91878,97331,5.935044298,,
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2215770,2345210,5.841761555,,
"Oklahoma City, OK Metro Area",1319677,1396445,5.817181022,,
"Wenatchee, WA Metro Area",113438,119943,5.734409986,,
"Gainesville, FL Metro Area",273232,288711,5.665149031,,
"Lexington-Fayette, KY Metro Area",489435,516697,5.570096131,,
"Elizabeth City, NC Micro Area",63322,66815,5.516250276,,
"Riverside-San Bernardino-Ontario, CA Metro Area",4380878,4622361,5.512205544,,
"Jonesboro, AR Metro Area",125633,132532,5.491391593,,
"Yuma, AZ Metro Area",201201,212128,5.43088752,,
"Columbia, MO Metro Area",170773,180005,5.406006804,,
"Dover, DE Metro Area",169416,178550,5.391462436,,
"Lincoln, NE Metro Area",316941,333964,5.371031201,,
"Richmond-Berea, KY Micro Area",103433,108961,5.344522541,,
"Hilo, HI Micro Area",190821,200983,5.325409677,,
"Medford, OR Metro Area",208545,219564,5.283751708,,
"Madison, WI Metro Area",627431,660422,5.258108063,,
"Waco, TX Metro Area",257083,270566,5.244609717,,
"Grand Rapids-Wyoming, MI Metro Area",1016603,1069405,5.193964606,,
"Boulder, CO Metro Area",310048,326078,5.1701672,,
"Vallejo-Fairfield, CA Metro Area",424788,446610,5.137150767,,
"Omaha-Council Bluffs, NE-IA Metro Area",895999,941924,5.125563756,,
"Laredo, TX Metro Area",262495,275910,5.110573535,,
"Staunton-Waynesboro, VA Metro Area",117077,123007,5.065042664,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5950214,6251240,5.059078547,,
"Columbia, SC Metro Area",793360,833165,5.017268327,,
"Asheville, NC Metro Area",437657,459585,5.010316298,,
"Lubbock, TX Metro Area",304830,319995,4.974904045,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3459146,3629190,4.915779791,,
"Grants Pass, OR Metro Area",83306,87393,4.906009171,,
"Indianapolis-Carmel-Anderson, IN Metro Area",1953613,2048428,4.85331537,,
"State College, PA Metro Area",155403,162805,4.763099811,,
"Frankfort, KY Micro Area",70142,73478,4.756066266,,
"Harrisonburg, VA Metro Area",129136,135277,4.755451617,,
"San Francisco-Oakland-Hayward, CA Metro Area",4516276,4729484,4.720880655,,
"Ann Arbor, MI Metro Area",354240,370963,4.72081075,,
"Pocatello, ID Metro Area",83249,87138,4.671527586,,
"Tuscaloosa, AL Metro Area",234008,244895,4.652405046,,
"Modesto, CA Metro Area",525491,549815,4.628813814,,
"Flagstaff, AZ Metro Area",136539,142854,4.625052183,,
"Sevierville, TN Micro Area",93570,97892,4.619001817,,
"Athens, TX Micro Area",78675,82299,4.606291706,,
"St. Cloud, MN Metro Area",191306,199801,4.440529832,,
"Seneca, SC Micro Area",75045,78374,4.436005064,,
"Richmond, VA Metro Area",1248513,1303621,4.413890764,,
"Kansas City, MO-KS Metro Area",2052048,2142419,4.403941818,,
"Merced, CA Metro Area",263228,274765,4.382892397,,
"Lake City, FL Micro Area",67543,70503,4.382393438,,
"Kahului-Wailuku-Lahaina, HI Metro Area",160292,167295,4.368901754,,
"Warner Robins, GA Metro Area",185623,193729,4.366915738,,
"Lebanon, PA Metro Area",135486,141314,4.301551452,,
"Tucson, AZ Metro Area",996554,1039073,4.266602713,,
"Huntsville, TX Micro Area",81516,84993,4.265420286,,
"Holland, MI Micro Area",112531,117327,4.261936711,,
"Rapid City, SD Metro Area",141324,147316,4.239902635,,
"Augusta-Richmond County, GA-SC Metro Area",581551,605903,4.187422943,,
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1919641,1999107,4.139628191,,
"Chico, CA Metro Area",222090,231256,4.127155658,,
"San Diego-Carlsbad, CA Metro Area",3211252,3343364,4.114034028,,
"Fresno, CA Metro Area",955272,994400,4.096006164,,
"Boston-Cambridge-Newton, MA-NH Metro Area",4684299,4875390,4.079393736,,
"Cookeville, TN Micro Area",107526,111825,3.998102784,,
"Columbus, IN Metro Area",79587,82753,3.978036614,,
"Aberdeen, WA Micro Area",71078,73901,3.97169307,,
"Springfield, MO Metro Area",450498,468126,3.913002943,,
"Gulfport-Biloxi-Pascagoula, MS Metro Area",382516,397261,3.854740717,,
"Grand Junction, CO Metro Area",147554,153207,3.831139786,,
"Bakersfield, CA Metro Area",864124,896764,3.777235675,,
"Hagerstown-Martinsburg, MD-WV Metro Area",258294,268049,3.776704066,,
"Kapaa, HI Micro Area",69512,72133,3.770571988,,
"Pueblo, CO Metro Area",161451,167529,3.764609696,,
"Cedar Rapids, IA Metro Area",262421,272295,3.76265619,,
"Stillwater, OK Micro Area",79066,82040,3.761414514,,
"Rochester, MN Metro Area",211853,219802,3.752130015,,
"Billings, MT Metro Area",165730,171894,3.71930248,,
"Yuba City, CA Metro Area",168690,174848,3.650483135,,
"Cleveland, TN Metro Area",120384,124748,3.625066454,,
"Tallahassee, FL Metro Area",373961,387455,3.608397667,,
"Greensboro-High Point, NC Metro Area",741065,767711,3.59563601,,
"Knoxville, TN Metro Area",852147,882598,3.573444488,,
"Walla Walla, WA Metro Area",63361,65611,3.551080318,,
"Amarillo, TX Metro Area",259164,268356,3.546788906,,
"Lake Charles, LA Metro Area",202397,209548,3.533155136,,
"Abilene, TX Metro Area",168144,174006,3.486297459,,
"Tullahoma-Manchester, TN Micro Area",100895,104410,3.483819813,,
"Madera, CA Metro Area",152389,157672,3.46678566,,
"Brunswick, GA Metro Area",113007,116864,3.413062908,,
"Tulsa, OK Metro Area",961321,993928,3.391895111,,
"Chattanooga, TN-GA Metro Area",540387,558703,3.389422766,,
"Coos Bay, OR Micro Area",62282,64389,3.382999904,,
"Cheyenne, WY Metro Area",95809,98976,3.305534971,,
"Appleton, WI Metro Area",229962,237524,3.288369383,,
"Cullman, AL Micro Area",80811,83442,3.255744886,,
"Greenville, NC Metro Area",174263,179914,3.242799676,,
"Branson, MO Micro Area",84872,87601,3.215430295,,
"Lake Havasu City-Kingman, AZ Metro Area",203030,209550,3.211348077,,
"Fort Wayne, IN Metro Area",424122,437631,3.185168419,,
"Winston-Salem, NC Metro Area",650820,671456,3.170769183,,
"Mankato-North Mankato, MN Metro Area",98560,101647,3.132102273,,
"Roseburg, OR Micro Area",106940,110283,3.126051992,,
"Lansing-East Lansing, MI Metro Area",467321,481893,3.118199268,,
"Harrisburg-Carlisle, PA Metro Area",557711,574659,3.03884987,,
"Morgantown, WV Metro Area",136133,140259,3.030859527,,
"Victoria, TX Metro Area",96135,99047,3.029073698,,
"Portland-South Portland, ME Metro Area",519900,535420,2.98518946,,
"El Centro, CA Metro Area",176584,181827,2.969125176,,
"Green Bay, WI Metro Area",312409,321591,2.939095865,,
"Morristown, TN Metro Area",115197,118581,2.937576499,,
"Concord, NH Micro Area",146849,151132,2.916601407,,
"Show Low, AZ Micro Area",107322,110445,2.909934589,,
"Paducah, KY-IL Micro Area",95888,98658,2.888786918,,
"Brainerd, MN Micro Area",91763,94408,2.882425378,,
"Bloomington, IN Metro Area",163089,167762,2.865306673,,
"Manchester-Nashua, NH Metro Area",403985,415247,2.787727267,,
"California-Lexington Park, MD Metro Area",109633,112664,2.764678518,,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",276443,284010,2.737273145,,
"Louisville/Jefferson County, KY-IN Metro Area",1262928,1296815,2.683209177,,
"Charlottesville, VA Metro Area",225531,231565,2.675463683,,
"Klamath Falls, OR Micro Area",65910,67653,2.644515248,,
"Lancaster, PA Metro Area",529600,543557,2.635385196,,
"Fayetteville, NC Metro Area",377193,387094,2.624916157,,
"Cincinnati, OH-KY-IN Metro Area",2134109,2189442,2.592791652,,
"Visalia-Porterville, CA Metro Area",454143,465861,2.580244549,,
"Elkhart-Goshen, IN Metro Area",200563,205560,2.491486466,,
"Eau Claire, WI Metro Area",164570,168669,2.490733427,,
"Santa Maria-Santa Barbara, CA Metro Area",435697,446527,2.485672382,,
"Carson City, NV Metro Area",54080,55414,2.466715976,,
"Kalamazoo-Portage, MI Metro Area",332180,340318,2.449876573,,
"Little Rock-North Little Rock-Conway, AR Metro Area",723743,741357,2.433736838,,
"Traverse City, MI Micro Area",146358,149914,2.429658782,,
"New Orleans-Metairie, LA Metro Area",1240977,1270399,2.370873916,,
"Burlington-South Burlington, VT Metro Area",215539,220612,2.353634377,,
"Worcester, MA-CT Metro Area",926710,947866,2.282914828,,
"Hobbs, NM Micro Area",68062,69611,2.275866122,,
"Faribault-Northfield, MN Micro Area",65049,66523,2.265984104,,
"Rome, GA Metro Area",95821,97927,2.197848071,,
"Palatka, FL Micro Area",72577,74163,2.185265304,,
"Owensboro, KY Metro Area",117149,119691,2.169886213,,
"Lafayette, LA Metro Area",479116,489364,2.138939213,,
"Shawnee, OK Micro Area",71158,72679,2.137496838,,
"York-Hanover, PA Metro Area",438965,448273,2.120442404,,
"Joplin, MO Metro Area",175243,178902,2.087957864,,
"San Angelo, TX Metro Area",116914,119310,2.049369622,,
"Hot Springs, AR Metro Area",97173,99154,2.03863213,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",827048,842913,1.918268347,,
"Las Cruces, NM Metro Area",213460,217522,1.902932634,,
"Chambersburg-Waynesboro, PA Metro Area",152085,154835,1.808199362,,
"Corpus Christi, TX Metro Area",444904,452927,1.803310377,,
"Santa Cruz-Watsonville, CA Metro Area",269419,274255,1.794973628,,
"Santa Fe, NM Metro Area",147423,150056,1.786017107,,
"Yakima, WA Metro Area",247044,251446,1.781868817,,
"Alamogordo, NM Micro Area",65616,66781,1.77548159,,
"Warsaw, IN Micro Area",77963,79344,1.771353078,,
"Lynchburg, VA Metro Area",260792,265405,1.768842603,,
"Greenwood, SC Micro Area",93996,95654,1.763904847,,
"Johnson City, TN Metro Area",200591,203921,1.660094421,,
"Albuquerque, NM Metro Area",901932,916791,1.647463445,,
"Beaumont-Port Arthur, TX Metro Area",403622,410233,1.637918647,,
"Reading, PA Metro Area",413521,420152,1.603546132,,
"Lewiston, ID-WA Metro Area",62025,63018,1.600967352,,
"Morehead City, NC Micro Area",68434,69524,1.592775521,,
"Brownsville-Harlingen, TX Metro Area",417276,423908,1.589355726,,
"Salinas, CA Metro Area",428826,435594,1.578262512,,
"Grand Forks, ND-MN Metro Area",100748,102299,1.539484655,,
"El Paso, TX Metro Area",831935,844723,1.53713932,,
"Truckee-Grass Valley, CA Micro Area",98200,99696,1.523421589,,
"Muskegon, MI Metro Area",171008,173588,1.508701347,,
"Janesville-Beloit, WI Metro Area",160739,163129,1.486882462,,
"Albertville, AL Micro Area",94760,96109,1.423596454,,
"LaGrange, GA Micro Area",69053,70034,1.420647908,,
"East Stroudsburg, PA Metro Area",167148,169507,1.411324096,,
"Eureka-Arcata-Fortuna, CA Micro Area",134493,136373,1.397842267,,
"Champaign-Urbana, IL Metro Area",234089,237356,1.395623032,,
"Baton Rouge, LA Metro Area",820159,831310,1.359614416,,
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",839620,850967,1.351444701,,
"Longview, TX Metro Area",216530,219417,1.333302545,,
"Hickory-Lenoir-Morganton, NC Metro Area",363572,368416,1.332335823,,
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1706816,1729114,1.306409127,,
"Russellville, AR Micro Area",84440,85535,1.296778778,,
"Texarkana, TX-AR Metro Area",149800,151675,1.251668892,,
"Gettysburg, PA Metro Area",101546,102811,1.245740847,,
"Fond du Lac, WI Metro Area",101798,103066,1.245604039,,
"Dalton, GA Metro Area",142212,143983,1.245323883,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13131431,13291486,1.218869444,,
"Blacksburg-Christiansburg-Radford, VA Metro Area",179738,181926,1.217327443,,
"Dubuque, IA Metro Area",95697,96854,1.209024316,,
"Greeneville, TN Micro Area",68267,69087,1.20116601,,
"South Bend-Mishawaka, IN-MI Metro Area",318619,322424,1.19421629,,
"Baltimore-Columbia-Towson, MD Metro Area",2770738,2802789,1.156767619,,
"Valdosta, GA Metro Area",143947,145577,1.132361216,,
"Zanesville, OH Micro Area",85231,86183,1.116964485,,
"Grand Island, NE Metro Area",84168,85104,1.112061591,,
"Wichita, KS Metro Area",637989,645031,1.103780786,,
"Providence-Warwick, RI-MA Metro Area",1604291,1621337,1.06252544,,
"Jefferson City, MO Metro Area",148703,150243,1.035621339,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6034678,6096372,1.022324638,,
"Helena, MT Micro Area",77995,78791,1.020578242,,
"Birmingham-Hoover, AL Metro Area",1140300,1151801,1.00859423,,
"Santa Rosa, CA Metro Area",495025,499942,0.993283168,,
"La Crosse-Onalaska, WI-MN Metro Area",135512,136808,0.956372867,,
"Roanoke, VA Metro Area",311607,314515,0.933226789,,
"Oshkosh-Neenah, WI Metro Area",169541,171020,0.872355359,,
"London, KY Micro Area",127119,128214,0.861397588,,
"Fort Smith, AR-OK Metro Area",279974,282318,0.837220599,,
"Clearlake, CA Micro Area",63860,64382,0.817413091,,
"Jackson, MS Metro Area",578361,583080,0.815926385,,
"Stevens Point, WI Micro Area",70380,70942,0.798522307,,
"Racine, WI Metro Area",195041,196584,0.791115714,,
"Wooster, OH Micro Area",115071,115967,0.778649703,,
"Springfield, MA Metro Area",626915,631761,0.772991554,,
"Anchorage, AK Metro Area",396142,399148,0.758818807,,
"Augusta-Waterville, ME Micro Area",121164,122083,0.758476115,,
"Whitewater-Elkhorn, WI Micro Area",102945,103718,0.750886396,,
"Watertown-Fort Atkinson, WI Micro Area",84509,85129,0.73364967,,
"Detroit-Warren-Dearborn, MI Metro Area",4294983,4326442,0.732459244,,
"Farmington, MO Micro Area",66215,66692,0.720380578,,
"Talladega-Sylacauga, AL Micro Area",92206,92812,0.657224042,,
"Tupelo, MS Micro Area",139671,140552,0.630768019,,
"Shelby, NC Micro Area",97047,97645,0.616196276,,
"Albany-Schenectady-Troy, NY Metro Area",877905,883169,0.599609297,,
"Redding, CA Metro Area",178980,180040,0.592244944,,
"Nacogdoches, TX Micro Area",65330,65711,0.58319302,,
"Sioux City, IA-NE-SD Metro Area",168491,169354,0.51219353,,
"Dayton, OH Metro Area",802489,806548,0.505801326,,
"Ukiah, CA Micro Area",87192,87606,0.474814203,,
"Elizabethtown-Fort Knox, KY Metro Area",151740,152459,0.473836826,,
"Sheboygan, WI Metro Area",114922,115456,0.464662989,,
"Memphis, TN-MS-AR Metro Area",1343850,1350064,0.462402798,,
"Meridian, MS Micro Area",103704,104181,0.459962972,,
"Bridgeport-Stamford-Norwalk, CT Metro Area",939904,943823,0.416957477,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",1569659,1576113,0.411172108,,
"Dothan, AL Metro Area",147691,148245,0.375107488,,
"Hattiesburg, MS Metro Area",148644,149119,0.319555448,,
"Searcy, AR Micro Area",78483,78727,0.310895353,,
"Hanford-Corcoran, CA Metro Area",150960,151366,0.268945416,,
"Findlay, OH Micro Area",75773,75930,0.207197815,,
"St. Louis, MO-IL Metro Area",2799609,2804724,0.182704085,,
"Mount Pleasant, MI Micro Area",70436,70562,0.178885797,,
"Terre Haute, IN Metro Area",168400,168679,0.16567696,,
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19949502,19979477,0.150254377,,
"Evansville, IN-KY Metro Area",314280,314672,0.124729541,,
"Waterloo-Cedar Falls, IA Metro Area",169484,169659,0.103254585,,
"Lewiston-Auburn, ME Metro Area",107604,107679,0.069700011,,
"Wichita Falls, TX Metro Area",151201,151306,0.069443985,,
"Monroe, MI Metro Area",150376,150439,0.041894983,,
"Wausau, WI Metro Area",135416,135428,0.008861582,,
"Parkersburg-Vienna, WV Metro Area",92519,92499,-0.021617181,,
"Mobile, AL Metro Area",414079,413757,-0.077762939,,
"Clarksburg, WV Micro Area",89801,89718,-0.092426588,,
"Manhattan, KS Metro Area",98085,97980,-0.107050008,,
"Florence-Muscle Shoals, AL Metro Area",147317,147149,-0.114039792,,
"Akron, OH Metro Area",705686,704845,-0.119174817,,
"Keene, NH Micro Area",76610,76493,-0.152721577,,
"Trenton, NJ Metro Area",370414,369811,-0.162790823,,
"Claremont-Lebanon, NH-VT Micro Area",217595,217215,-0.174636366,,
"Forest City, NC Micro Area",66956,66826,-0.194157357,,
"Marshall, TX Micro Area",66886,66726,-0.239212989,,
"Wilson, NC Micro Area",81667,81455,-0.259590777,,
"Hermiston-Pendleton, OR Micro Area",89222,88920,-0.33848154,,
"Urban Honolulu, HI Metro Area",983429,980080,-0.34054314,,
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1134115,1130152,-0.349435463,,
"Houma-Thibodaux, LA Metro Area",209890,209136,-0.35923579,,
"Greenfield Town, MA Micro Area",71221,70963,-0.362252706,,
"Cleveland-Elyria, OH Metro Area",2064725,2057009,-0.373705941,,
"Duluth, MN-WI Metro Area",279887,278799,-0.388728308,,
"Battle Creek, MI Metro Area",135012,134487,-0.388854324,,
"Lufkin, TX Micro Area",87441,87092,-0.399126268,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9537040,9497790,-0.41155327,,
"Kokomo, IN Metro Area",82760,82366,-0.476075399,,
"New Philadelphia-Dover, OH Micro Area",92672,92176,-0.535220994,,
"New Haven-Milford, CT Metro Area",862287,857620,-0.541235111,,
"Mansfield, OH Metro Area",121773,121099,-0.553488869,,
"Beaver Dam, WI Micro Area",88344,87847,-0.562573576,,
"Florence, SC Metro Area",206261,204961,-0.630269416,,
"Napa, CA Metro Area",140326,139417,-0.647777319,,
"Bloomington, IL Metro Area",192140,190884,-0.653690018,,
"Kingsport-Bristol-Bristol, TN-VA Metro Area",308643,306562,-0.674241762,,
"North Wilkesboro, NC Micro Area",69023,68557,-0.675137273,,
"Topeka, KS Metro Area",234203,232594,-0.687010841,,
"Montgomery, AL Metro Area",376066,373401,-0.708652205,,
"Niles-Benton Harbor, MI Metro Area",155252,154141,-0.715610749,,
"Hartford-West Hartford-East Hartford, CT Metro Area",1215211,1206300,-0.733288293,,
"Barnstable Town, MA Metro Area",214990,213413,-0.733522489,,
"Ithaca, NY Metro Area",103617,102793,-0.795236303,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",383257,380106,-0.822163718,,
"Opelousas, LA Micro Area",83454,82764,-0.82680279,,
"Midland, MI Metro Area",83919,83209,-0.846053933,,
"Decatur, AL Metro Area",153374,152046,-0.865857316,,
"Toledo, OH Metro Area",608145,602871,-0.867227388,,
"Great Falls, MT Metro Area",82384,81643,-0.899446494,,
"Adrian, MI Micro Area",99188,98266,-0.929547929,,
"Jackson, MI Metro Area",160369,158823,-0.964026713,,
"Marion, OH Micro Area",65905,65256,-0.984750778,,
"Monroe, LA Metro Area",178565,176805,-0.985635483,,
"Quincy, IL-MO Micro Area",76786,76007,-1.014507853,,
"Owosso, MI Micro Area",68900,68192,-1.027576197,,
"Minot, ND Micro Area",76478,75668,-1.059128115,,
"Goldsboro, NC Metro Area",124583,123248,-1.071574773,,
"Plattsburgh, NY Micro Area",81591,80695,-1.098160336,,
"Jackson, TN Metro Area",130645,129209,-1.099161851,,
"Alexandria, LA Metro Area",154753,153044,-1.104340465,,
"Rochester, NY Metro Area",1083278,1071082,-1.12584212,,
"Michigan City-La Porte, IN Metro Area",111281,110007,-1.144849525,,
"Farmington, NM Metro Area",126503,125043,-1.154122827,,
"Springfield, OH Metro Area",136167,134585,-1.161808661,,
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",562037,555485,-1.16575955,,
"Wisconsin Rapids-Marshfield, WI Micro Area",73959,73055,-1.222298841,,
"Canton-Massillon, OH Metro Area",403707,398655,-1.251402626,,
"Chillicothe, OH Micro Area",77910,76931,-1.256578103,,
"Kingston, NY Metro Area",180998,178599,-1.32542901,,
"Gadsden, AL Metro Area",103931,102501,-1.375912865,,
"Gallup, NM Micro Area",73308,72290,-1.388661538,,
"Fairbanks, AK Metro Area",100436,98971,-1.458640328,,
"Bangor, ME Metro Area",153364,151096,-1.478834668,,
"Sumter, SC Metro Area",108123,106512,-1.489969757,,
"Mount Airy, NC Micro Area",73050,71948,-1.508555784,,
"Pittsburgh, PA Metro Area",2360867,2324743,-1.530115843,,
"St. Joseph, MO-KS Metro Area",128989,126991,-1.548969292,,
"Macon, GA Metro Area",230300,226680,-1.571862788,,
"Roswell, NM Micro Area",65823,64689,-1.72280206,,
"Syracuse, NY Metro Area",661934,650502,-1.727060402,,
"Key West, FL Micro Area",76351,75027,-1.734096475,,
"Marquette, MI Micro Area",67700,66516,-1.748892171,,
"Carbondale-Marion, IL Metro Area",126738,124475,-1.785573388,,
